index,word,label
1,hia,O
1,BI,O
1,ibe,O
1,02/01/2024,B-INV_DATE
1,18:37:55,O
1,9901010125,O
1,90101201,O
1,.,O
1,BRICOMA,O
1,TANSER,O
1,2,O
1,Tanger,B-ADDR
1,A9000000031610,O
1,APP:,O
1,VISA,O
1,Tb,O
1,-EKHREOD,O
1,TH,O
1,MBE,O
1,HMR,O
1,AMAR,O
1,KKXK,O
1,SOP,O
1,L,O
1,07/25,O
1,CARTE,O
1,NAY,O
1,TONALE,O
1,258E0937707F,O
1,BAAD,O
1,200-0-9999-1-44,O
1,MONTANT,O
1,;,O
1,4354.40,B-TOTAL_AMT
1,MAD,I-TOTAL_AMT
1,NUM,O
1,TRANSACTIGN,O
1,:,O
1,175,O
1,NUM,O
1,AUTORISATION,O
1,:,O
1,699303,O
1,STAN,O
1,:,O
1,501003,O
1,CAISSE,O
1,:,O
1,OL,O
1,DEBIT,O
1,Le,O
1,CMI,O
1,vous,O
1,remercie,O
1,COPIE,O
1,CLIENT,O
2,Facture,O
2,-,O
2,orange,O
2,Résumé,O
2,par,O
2,ligne,O
2,N°,O
2,de,O
2,facture,O
2,+,O
2,F-0124-1268258,O
2,Compte,O
2,client,O
2,+,O
2,12048731,O
2,ORANGE,O
2,DUO,O
2,FIBRE,O
2,PLUS,O
2,ESE,O
2,000713420,O
2,"0,00",O
2,"0,00",O
2,"0,00",O
2,"0,00",O
2,"0,00",O
2,"0,00",O
2,"0,00",O
2,"0,00",O
2,"0,00",O
2,212520301094,O
2,"540,83",O
2,"0,00",O
2,"0,00",O
2,"0,00",O
2,"0,00",O
2,"540,83",O
2,"108,17",O
2,"0,00",O
2,"649,00",O
2,MEDI,O
2,TELECOM,O
2,",",O
2,SA,O
2,au,O
2,Capital,O
2,de,O
2,2.373.168.700,O
2,DH,O
2,Page,O
2,4/,O
2,5,O
2,Siege,O
2,social,O
2,:,O
2,Lotissement,B-ADDR
2,la,I-ADDR
2,Colline,I-ADDR
2,Il,I-ADDR
2,",",I-ADDR
2,Immeuble,I-ADDR
2,les,I-ADDR
2,Quatre,I-ADDR
2,Temps,I-ADDR
2,",",I-ADDR
2,Sidi,I-ADDR
2,Maarouf,I-ADDR
2,",",I-ADDR
2,Casablanca,I-ADDR
2,",",I-ADDR
2,20270,I-ADDR
2,",",I-ADDR
2,Maroc,I-ADDR
2,RC,O
2,97815,O
2,-,O
2,Patente,O
2,37,O
2,998,O
2,017,O
2,-,O
2,IF,O
2,108,O
2,6826,O
2,-,O
2,CNSS,O
2,6018924,O
2,-,O
2,ICE,O
2,001524628000001,B-ICE
2,orange,O
2,m,O
3,Facture,O
3,§,O
3,),O
3,ils,O
3,orange,O
3,C,B-NAME
3,BIS.COM,I-NAME
3,Numéro,O
3,de,O
3,Facture,O
3,:,O
3,F-0124-1268258,O
3,ANG.ROUDANI,O
3,N°,O
3,N°,O
3,Compte,O
3,client,O
3,:,O
3,12048731,O
3,RUE,O
3,ABOU,O
3,SALT,O
3,EL,O
3,ANDALOUSS!,O
3,Date,O
3,d’édition,O
3,+,O
3,02/01/2024,B-INV_DATE
3,20000,O
3,CASABLANCA,O
3,Vos,O
3,coordonnées,O
3,C,B-NAME
3,BIS.COM,I-NAME
3,ANG.ROUDANI,O
3,N°,O
3,Votre,O
3,facture,O
3,du,O
3,1,O
3,Janvier,O
3,2024,O
3,RUE,O
3,ABOU,O
3,SALT,O
3,EL,O
3,ANDALOUSSI,O
3,Montant,O
3,total,O
3,a,O
3,payer,O
3,"649,00",B-TOTAL_AMT
3,DH,I-TOTAL_AMT
3,ICE,O
3,:,O
3,001581583000054,O
3,Date,O
3,limite,O
3,de,O
3,paiement,O
3,le,O
3,16/01/2024,B-DUE_DATE
3,slab,O
3,Jal,O
3,St,O
3,Nous,O
3,contacter,O
3,:,O
3,;,O
3,.,O
3,Pour,O
3,votre,O
3,sécurité,O
3,en,O
3,cette,O
3,période,O
3,",",O
3,nous,O
3,vous,O
3,Par,O
3,courrier,O
3,=,O
3,e,O
3,anali,O
3,Orange,O
3,Maroc,O
3,recommandons,O
3,de,O
3,payer,O
3,vos,O
3,factures,O
3,en,O
3,ligne,O
3,.,O
3,Votre,O
3,Lotissement,O
3,la,O
3,colline,O
3,It,O
3,sécurité,O
3,est,O
3,notre,O
3,priorité,O
3,Votre,O
3,service,O
3,clients,O
3,178,O
3,depuis,O
3,un,O
3,mobile,O
3,Résumé,O
3,de,O
3,la,O
3,facture,O
3,Montant,O
3,en,O
3,DH,O
3,Orange,O
3,(,O
3,appel,O
3,gratuit,O
3,),O
3,(,O
3,+212,O
3,),O
3,05,O
3,20,O
3,178,O
3,178,O
3,m=,O
3,Vos,O
3,forfaits/abonnements,O
3,et,O
3,options,O
3,"540,83",B-AMT
3,+cout,O
3,appel,O
3,selon,O
3,opérateur,O
3,7,O
3,(,O
3,7,O
3,de,O
3,07h,O
3,a,O
3,00h,O
3,relationentreprise@orange.ma,B-EMAIL
3,TVA,O
3,(,O
3,20%,O
3,),O
3,ad.v2,O
3,"108,17",B-TAX
3,www.entreprise.orange.ma,O
3,Total,O
3,TTC,O
3,"649,00",B-TOTAL_AMT
3,Solde,O
3,en,O
3,votre,O
3,faveur,O
3,*,O
3,"0,00",O
3,Montant,O
3,total,O
3,a,O
3,payer,O
3,o/s!,O
3,cial,O
3,it,O
3,lull,O
3,"649,00",B-TOTAL_AMT
3,*,O
3,Palements,O
3,effectués,O
3,parle,O
3,client,O
3,Anoter,O
3,Vos,O
3,avantages,O
3,Découvrez,O
3,le,O
3,nouveau,O
3,Pack,O
3,Pro,O
3,d'Orange,O
3,en,O
3,allant,O
3,sur,O
3,le,O
3,site,O
3,Bénéficiez,O
3,d'appels,O
3,en,O
3,illimité,O
3,entre,O
3,les,O
3,collaborateurs,O
3,de,O
3,votre,O
3,https://entreprise.orange.ma/,O
3,entreprise,O
3,Rechargez,O
3,votre,O
3,ligne,O
3,ou,O
3,celles,O
3,de,O
3,vos,O
3,collaborateurs,O
3,via,O
3,les,O
3,Pass,O
3,Orange,O
3,Récupérez,O
3,votre,O
3,TVA,O
3,en,O
3,tant,O
3,que,O
3,client,O
3,Entreprise,O
3,MEDI,O
3,TELECOM,O
3,",",O
3,SA,O
3,au,O
3,Capital,O
3,de,O
3,2.373.168.700,O
3,DH,O
3,Page,O
3,V/s,O
3,5,O
3,Siege,O
3,social,O
3,:,O
3,Lotissement,O
3,la,O
3,Colline,O
3,Il,O
3,",",O
3,Immeuble,O
3,les,O
3,Quatre,O
3,Temps,O
3,",",O
3,Sidi,O
3,Madrouf,O
3,",",O
3,Casablanca,O
3,",",O
3,20270,O
3,",",O
3,Maroc,O
3,RC,O
3,97815,O
3,-,O
3,Patente,O
3,37,O
3,998,O
3,011,O
3,-,O
3,IF,O
4,B,O
4,5,O
4,Date,O
4,de,O
4,facture,O
4,:,O
4,16/01/2024,B-INV_DATE
4,udget,O
4,CBISCOM,B-NAME
4,2,O
4,",",O
4,Rue,B-ADDR
4,Abou,I-ADDR
4,Assalt,I-ADDR
4,Andaloussi,I-ADDR
4,Angle,B-ADDR
4,Bd,I-ADDR
4,Brahim,I-ADDR
4,Roudani,I-ADDR
4,Maarif,I-ADDR
4,20,I-ADDR
4,330,I-ADDR
4,CASABLANCA,B-ADDR
4,Maroc,I-ADDR
4,ICE,O
4,N°,O
4,;,O
4,001581583000054,O
4,N°,O
4,DE,O
4,FACTURE,O
4,:,O
4,000418/2024,O
4,Page,O
4,1,O
4,de1,O
4,Début,O
4,.,O
4,Fin,O
4,.,O
4,Période,O
4,Période,O
4,Montant,O
4,Contrat,O
4,N*,O
4,N°,O
4,BG,O
4,[exes,O
4,Matricule,O
4,Mowe,O
4,Contrat,O
4,du,O
4,au,O
4,Tot,O
4,.,O
4,HT,O
4,128487,O
4,12676,O
4,T6,O
4,DS,O
4,DS,O
4,7,O
4,Crossback,O
4,|,O
4,Phi,O
4,2.0,O
4,2714212021,O
4,26/12/2025,B-DUE_DATE
4,01/01/2024,B-INV_DATE
4,31/01/2024,I-INV_DATE
4,"8.305,01",B-AMT
4,BlueHDi,O
4,180,O
4,Opera,O
4,Montant,O
4,T.V.A.,O
4,20%,O
4,Total,O
4,T.T.C.,O
4,"1.661,00",B-TAX
4,DH,I-TAX
4,"9.966,01",B-TOTAL_AMT
4,DH,I-TOTAL_AMT
4,Arrété,O
4,la,O
4,présente,O
4,facture,O
4,a,O
4,la,O
4,somme,O
4,de,O
4,neuf,O
4,mille,O
4,neuf,O
4,cent,O
4,soixante-six,O
4,dirhams,O
4,et,O
4,01,O
4,Cts,O
4,Conformément,O
4,a,O
4,l'article,O
4,N°,O
4,32-10,O
4,fixant,O
4,les,O
4,délais,O
4,de,O
4,paiement,O
4,au,O
4,Maroc,O
4,.,O
4,Des,O
4,pénalités,O
4,de,O
4,retard,O
4,sont,O
4,dues,O
4,a,O
4,défaut,O
4,de,O
4,non-respect,O
4,du,O
4,délai,O
4,contractuel,O
4,de,O
4,réglement,O
4,.,O
4,Le,O
4,taux,O
4,d’intérét,O
4,annuel,O
4,de,O
4,ces,O
4,pénalités,O
4,de,O
4,retard,O
4,est,O
4,de,O
4,10%,O
4,.,O
4,LOCASOM,O
4,GROUP,O
4,RANK,O
4,OF,O
4,AFRICA,O
4,LOCASOM,O
4,S.A.,O
4,AU,O
4,CAPITAL,O
4,DE,O
4,83,O
4,042,O
4,900,O
4,DH,O
4,-,O
4,R.C.,O
4,39703,O
4,-,O
4,T.P.,O
4,:,O
4,37991027,O
4,-,O
4,I.F.,O
4,:,O
4,01660400,O
4,-,O
4,CNSS,O
4,:,O
4,1056872,O
4,-,O
4,ICE,O
4,:,O
4,001525825000080,O
4,10,B-ADDR
4,",",O
4,Rue,B-ADDR
4,Ali,I-ADDR
4,Abderrazak,I-ADDR
4,",",O
4,Quartier,B-ADDR
4,Racine,I-ADDR
4,-,O
4,Casablanca,I-ADDR
4,-,O
4,Tél.,O
4,:,O
4,+212,O
4,520,O
4,150,O
4,888,O
4,-,O
4,Fax,O
4,:,O
4,+212,O
4,520,O
4,150,O
4,840,O
4,-,O
4,E-mail,O
4,:,O
4,lid@budgetima,B-EMAIL
4,-,O
4,Site,O
4,Web,O
4,:,O
4,www.budget-lid.ma,O
5,Facture,O
5,By,O
5,gilé,O
5,orange,O
5,MOHAMED,B-NAME
5,EL,I-NAME
5,HILAL!,I-NAME
5,Numero,O
5,de,O
5,Facture,O
5,_:,O
5,F-0622-0494723,O
5,5,O
5,DERB,O
5,EL,O
5,HAJ,O
5,E,O
5,NeCompteclient,O
5,—_:,O
5,§721703,O
5,FAKHARINE,O
5,Date,O
5,de,O
5,facture,O
5,oaos2022,B-INV_DATE
5,FES,O
5,30000,O
5,FES,O
5,Vos,O
5,coordonnées,O
5,MOHAMED,B-NAME
5,EL,I-NAME
5,HILALI,I-NAME
5,a,O
5,ae,O
5,Votre,O
5,facture,O
5,de,O
5,Juin,O
5,2022,O
5,een,O
5,Montant,O
5,total,O
5,a,O
5,payer,O
5,"49,00",B-TOTAL_AMT
5,DH,I-TOTAL_AMT
5,Dont,O
5,TVA,O
5,"8,17",B-TAX
5,DH,I-TAX
5,Date,O
5,limite,O
5,de,O
5,palement,O
5,le,O
5,15/06/2022,B-DUE_DATE
5,gu,O
5,Jqi,O
5,at,O
5,Paiement,O
5,de,O
5,tactures:,O
5,Vous,O
5,pouvez,O
5,payer,O
5,vos,O
5,factures,O
5,sur,O
5,votre,O
5,espace,O
5,client,O
5,Orange,O
5,et,O
5,mol,O
5,www.orange.ma,O
5,Si,O
5,vous,O
5,prétérez,O
5,le,O
5,paiement,O
5,en,O
5,"boutique,",O
5,vous,O
5,pouvez,O
5,vous,O
5,diriger,O
